FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	ProSiteProfiles	PS50004	C2 domain profile.	41	121	15.503	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SMART	SM00239		40	136	2.2E-19	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SMART	SM00239		202	300	1.9E-10	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SMART	SM00239		364	469	2.5E-12	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	CDD	cd08379	C2D_MCTP_PRT_plant	364	489	6.28068E-67	T	02-08-2018
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	02-08-2018
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	CDD	cd04019	C2C_MCTP_PRT_plant	202	352	1.56167E-89	T	02-08-2018
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	ProSiteProfiles	PS50004	C2 domain profile.	365	454	10.427	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Gene3D	G3DSA:2.60.40.150		360	496	4.1E-24	T	02-08-2018	IPR035892	C2 domain superfamily		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Gene3D	G3DSA:2.60.40.150		188	333	1.9E-23	T	02-08-2018	IPR035892	C2 domain superfamily		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Gene3D	G3DSA:2.60.40.150		24	162	5.3E-32	T	02-08-2018	IPR035892	C2 domain superfamily		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SUPERFAMILY	SSF49562		363	502	1.85E-26	T	02-08-2018
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	CDD	cd08378	C2B_MCTP_PRT_plant	40	164	1.06085E-64	T	02-08-2018
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SUPERFAMILY	SSF49562		201	354	3.99E-32	T	02-08-2018
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SUPERFAMILY	SSF49562		40	178	1.85E-36	T	02-08-2018
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Pfam	PF00168	C2 domain	201	307	1.6E-19	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Pfam	PF00168	C2 domain	364	472	1.0E-21	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Pfam	PF00168	C2 domain	40	132	4.2E-23	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Pfam	PF08372	Plant phosphoribosyltransferase C-terminal	617	772	7.6E-81	T	02-08-2018	IPR013583	Phosphoribosyltransferase C-terminal		
FRAEX38873_v2_000001360.2	99c150c0a26e6eeb07e4a3a5550fc7e3	772	ProSiteProfiles	PS50004	C2 domain profile.	203	285	13.372	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	ProSiteProfiles	PS50004	C2 domain profile.	41	121	15.503	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SMART	SM00239		40	136	2.2E-19	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SMART	SM00239		202	300	1.9E-10	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SMART	SM00239		364	469	2.5E-12	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	CDD	cd08379	C2D_MCTP_PRT_plant	364	489	6.28068E-67	T	02-08-2018
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	MobiDBLite	mobidb-lite	consensus disorder prediction	1	23	-	T	02-08-2018
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	CDD	cd04019	C2C_MCTP_PRT_plant	202	352	1.56167E-89	T	02-08-2018
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	ProSiteProfiles	PS50004	C2 domain profile.	365	454	10.427	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Gene3D	G3DSA:2.60.40.150		360	496	4.1E-24	T	02-08-2018	IPR035892	C2 domain superfamily		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Gene3D	G3DSA:2.60.40.150		188	333	1.9E-23	T	02-08-2018	IPR035892	C2 domain superfamily		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Gene3D	G3DSA:2.60.40.150		24	162	5.3E-32	T	02-08-2018	IPR035892	C2 domain superfamily		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SUPERFAMILY	SSF49562		363	502	1.85E-26	T	02-08-2018
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	CDD	cd08378	C2B_MCTP_PRT_plant	40	164	1.06085E-64	T	02-08-2018
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SUPERFAMILY	SSF49562		201	354	3.99E-32	T	02-08-2018
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	SUPERFAMILY	SSF49562		40	178	1.85E-36	T	02-08-2018
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Pfam	PF00168	C2 domain	201	307	1.6E-19	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Pfam	PF00168	C2 domain	364	472	1.0E-21	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Pfam	PF00168	C2 domain	40	132	4.2E-23	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	Pfam	PF08372	Plant phosphoribosyltransferase C-terminal	617	772	7.6E-81	T	02-08-2018	IPR013583	Phosphoribosyltransferase C-terminal		
FRAEX38873_v2_000001360.1	99c150c0a26e6eeb07e4a3a5550fc7e3	772	ProSiteProfiles	PS50004	C2 domain profile.	203	285	13.372	T	02-08-2018	IPR000008	C2 domain		
FRAEX38873_v2_000001260.1	67d0feb9501c6169027cd42b38ad5551	316	Pfam	PF00096	Zinc finger, C2H2 type	155	174	0.02	T	02-08-2018
FRAEX38873_v2_000001260.1	67d0feb9501c6169027cd42b38ad5551	316	SMART	SM00355		201	234	240.0	T	02-08-2018	IPR013087	Zinc finger C2H2-type	GO:0003676	
FRAEX38873_v2_000001260.1	67d0feb9501c6169027cd42b38ad5551	316	SMART	SM00355		155	177	0.38	T	02-08-2018	IPR013087	Zinc finger C2H2-type	GO:0003676	
FRAEX38873_v2_000001260.1	67d0feb9501c6169027cd42b38ad5551	316	SMART	SM00355		239	259	35.0	T	02-08-2018	IPR013087	Zinc finger C2H2-type	GO:0003676	
FRAEX38873_v2_000001260.1	67d0feb9501c6169027cd42b38ad5551	316	MobiDBLite	mobidb-lite	consensus disorder prediction	105	125	-	T	02-08-2018
FRAEX38873_v2_000001260.1	67d0feb9501c6169027cd42b38ad5551	316	Gene3D	G3DSA:3.30.160.60		198	287	9.6E-7	T	02-08-2018
FRAEX38873_v2_000001260.1	67d0feb9501c6169027cd42b38ad5551	316	ProSiteProfiles	PS50157	Zinc finger C2H2 type domain profile.	239	259	8.725	T	02-08-2018	IPR013087	Zinc finger C2H2-type	GO:0003676	
FRAEX38873_v2_000001260.1	67d0feb9501c6169027cd42b38ad5551	316	ProSitePatterns	PS00028	Zinc finger C2H2 type domain signature.	157	177	-	T	02-08-2018	IPR013087	Zinc finger C2H2-type	GO:0003676	
FRAEX38873_v2_000001260.1	67d0feb9501c6169027cd42b38ad5551	316	SUPERFAMILY	SSF57667		151	177	8.81E-5	T	02-08-2018	IPR036236	Zinc finger C2H2 superfamily		
